# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "Homo_sapiens.GRCh38.96.chromosome.22.gff3" "-g" "exon_id" "-o" "counts.txt" "s1-unshuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" "s1-shuffled-pe-trim.sorted.bam" "s1-unshuffled-pe-trim.sorted.bam" "s2-shuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-shuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-shuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-shuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" 
Geneid	s1-unshuffled-pe-trim.sorted.bam	s2-unshuffled-pe-trim.sorted.bam	s3-unshuffled-pe-trim.sorted.bam	s4-unshuffled-pe-trim.sorted.bam	s5-unshuffled-pe-trim.sorted.bam	s1-shuffled-pe-trim.sorted.bam
ENSE00003839361	0	0	0	0	0	0
ENSE00003832015	0	0	0	1	0	0
ENSE00003833913	0	0	0	0	0	0
ENSE00001606948	372	162	763	760	879	1
ENSE00003780305	24	6	66	69	68	0
ENSE00001413546	20	7	40	46	43	0
ENSE00001744810	0	0	0	0	0	0
ENSE00001700428	0	2	0	0	0	0
ENSE00001784478	0	0	0	0	0	0
ENSE00001592910	0	0	0	0	0	0
ENSE00001814148	0	0	0	0	0	0
ENSE00001748036	0	0	0	0	0	0
ENSE00003664248	0	0	0	0	0	0
ENSE00003554067	0	0	0	0	0	0
ENSE00003472152	0	0	0	0	0	0
ENSE00001775438	0	0	0	0	0	0
ENSE00001756874	0	0	0	0	0	0
ENSE00001684496	0	0	0	0	0	0
ENSE00001598036	0	0	0	0	0	0
ENSE00001543635	0	0	0	0	0	0
ENSE00001704267	0	0	0	0	0	0
ENSE00001677027	0	0	0	0	0	0
ENSE00001720235	0	0	0	0	0	0
ENSE00001592054	0	0	0	0	0	0
ENSE00001805660	0	0	0	0	0	0
ENSE00001653782	0	0	0	0	0	0
ENSE00001713996	0	0	0	0	1	0
ENSE00001733616	0	0	0	0	0	0
ENSE00003678912	0	0	0	0	0	0
ENSE00001543623	0	0	0	0	0	0
ENSE00003719738	6	6	10	10	6	0
ENSE00003674122	0	0	0	0	0	0
ENSE00003616125	0	0	0	0	0	0
ENSE00003505471	0	0	0	0	0	0
ENSE00003723500	0	0	0	0	0	0
ENSE00003711940	0	0	0	0	0	0
ENSE00001606307	0	0	0	0	0	0
ENSE00001426606	0	0	0	0	0	0
ENSE00003728009	0	0	0	0	0	0
ENSE00001871173	0	0	0	0	0	0
ENSE00001886699	0	0	0	0	0	0
ENSE00003731138	0	0	0	0	0	0
ENSE00003716881	9	3	6	6	9	0
